F:\Training_Data\IMG\center_2021_01_07_23_45_55_708.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_55_708.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_55_708.jpg, 0, 0, 0, 0.4476117
F:\Training_Data\IMG\center_2021_01_07_23_45_55_810.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_55_810.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_55_810.jpg, 0, 0, 0, 0.4388393
F:\Training_Data\IMG\center_2021_01_07_23_45_55_910.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_55_910.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_55_910.jpg, 0, 0, 0, 0.4301826
F:\Training_Data\IMG\center_2021_01_07_23_45_56_016.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_56_016.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_56_016.jpg, 0, 0, 0, 0.4216231
F:\Training_Data\IMG\center_2021_01_07_23_45_56_118.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_56_118.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_56_118.jpg, 0, 0, 0, 0.413156
F:\Training_Data\IMG\center_2021_01_07_23_45_56_218.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_56_218.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_56_218.jpg, 0, 0.1795137, 0, 0.498188
F:\Training_Data\IMG\center_2021_01_07_23_45_56_323.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_56_323.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_56_323.jpg, 0, 0.477252, 0, 0.921039
F:\Training_Data\IMG\center_2021_01_07_23_45_56_431.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_56_431.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_56_431.jpg, -0.0249024, 0.841248, 0, 1.881937
F:\Training_Data\IMG\center_2021_01_07_23_45_56_535.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_56_535.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_56_535.jpg, -0.3172719, 1, 0, 2.982206
F:\Training_Data\IMG\center_2021_01_07_23_45_56_634.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_56_634.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_56_634.jpg, -0.6181977, 1, 0, 4.119444
F:\Training_Data\IMG\center_2021_01_07_23_45_56_743.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_56_743.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_56_743.jpg, -0.9381362, 1, 0, 5.201586
F:\Training_Data\IMG\center_2021_01_07_23_45_56_844.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_56_844.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_56_844.jpg, -1, 1, 0, 6.271133
F:\Training_Data\IMG\center_2021_01_07_23_45_56_952.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_56_952.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_56_952.jpg, -0.6763831, 1, 0, 7.642368
F:\Training_Data\IMG\center_2021_01_07_23_45_57_057.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_57_057.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_57_057.jpg, -0.3865541, 1, 0, 8.790055
F:\Training_Data\IMG\center_2021_01_07_23_45_57_159.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_57_159.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_57_159.jpg, -0.2844368, 1, 0, 9.909712
F:\Training_Data\IMG\center_2021_01_07_23_45_57_275.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_57_275.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_57_275.jpg, -0.5297341, 1, 0, 11.17439
F:\Training_Data\IMG\center_2021_01_07_23_45_57_376.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_57_376.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_57_376.jpg, -0.228332, 1, 0, 12.07654
F:\Training_Data\IMG\center_2021_01_07_23_45_57_479.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_57_479.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_57_479.jpg, -0.3795928, 1, 0, 13.32777
F:\Training_Data\IMG\center_2021_01_07_23_45_57_582.jpg, F:\Training_Data\IMG\left_2021_01_07_23_45_57_582.jpg, F:\Training_Data\IMG\right_2021_01_07_23_45_57_582.jpg, -0.5424301, 1, 0, 14.36327
